ts,temperature,dew_point,rel_humidity,wind_dir,wind_speed,visibility,stn_pressure,humidex,wind_chill,notes
2013-01-05D21:00:00.000000000,-0.5,-3.9,78,180,13,24.1,99.69,,-5,Cloudy
2013-01-05D22:00:00.000000000,-0.1,-3.4,78,190,9,24.1,99.68,,-3,Cloudy
2013-01-05D23:00:00.000000000,0.2,-3.2,78,210,11,16.1,99.62,,,Snow
2013-01-06D00:00:00.000000000,-0.6,-2.1,90,180,6,12.9,99.52,,-3,Snow
2013-01-06D01:00:00.000000000,0.1,-2.6,82,210,9,16.1,99.44,,,Cloudy
2013-01-06D02:00:00.000000000,0.1,-2.6,82,220,11,16.1,99.39,,,Cloudy
2013-01-06D03:00:00.000000000,0.1,-2.2,84,220,13,16.1,99.33,,,Cloudy
2013-01-06D04:00:00.000000000,0,-1.5,90,230,19,12.9,99.28,,-5,Snow
2013-01-06D05:00:00.000000000,0,-1.4,90,230,19,16.1,99.19,,-5,Mostly Cloudy
2013-01-06D06:00:00.000000000,0.3,-0.9,92,220,15,16.1,99.14,,,Cloudy
2013-01-06D07:00:00.000000000,0.8,-0.4,92,230,20,16.1,99.18,,,Cloudy
2013-01-06D08:00:00.000000000,1,0,93,220,20,6.4,99.13,,,Snow Showers
2013-01-06D09:00:00.000000000,1.1,0.2,94,230,15,4.8,99.12,,,Snow
2013-01-06D10:00:00.000000000,1.1,0.3,94,230,13,4.8,99.15,,,Snow
2013-01-06D11:00:00.000000000,1.1,0.5,96,230,17,6.4,99.14,,,Snow
2013-01-06D12:00:00.000000000,1.8,0.1,88,240,24,16.1,99.06,,,Snow
2013-01-06D13:00:00.000000000,1.8,0,88,250,26,16.1,99.03,,,Rain
2013-01-06D14:00:00.000000000,1.9,0.1,88,240,24,9.7,99.03,,,"Rain,Fog"
2013-01-06D15:00:00.000000000,1.8,0.3,90,240,26,9.7,99.03,,,"Rain,Fog"
2013-01-06D16:00:00.000000000,1.8,0.3,90,250,24,9.7,99.12,,,"Rain,Fog"
2013-01-06D17:00:00.000000000,1.8,0.2,89,240,20,9.7,99.2,,,"Rain,Fog"
2013-01-06D18:00:00.000000000,1.6,0.1,90,270,11,16.1,99.32,,,Cloudy
2013-01-06D19:00:00.000000000,1.8,0.1,88,260,13,16.1,99.4,,,"Rain Showers,Snow Showers"
2013-01-06D20:00:00.000000000,1.5,-0.1,89,350,15,16.1,99.5,,,"Rain Showers,Snow Showers"
2013-01-06D21:00:00.000000000,0.9,-1.5,84,340,20,16.1,99.6,,,Mostly Cloudy
2013-01-06D22:00:00.000000000,-0.6,-2.7,86,350,32,16.1,99.73,,-7,Cloudy
2013-01-06D23:00:00.000000000,-2.1,-4.4,84,350,28,19.3,99.87,,-9,Cloudy
2013-01-07D00:00:00.000000000,-3.6,-6.3,82,350,30,24.1,99.98,,-11,Mostly Cloudy
2013-01-07D01:00:00.000000000,-4.8,-7.8,79,340,26,24.1,100.12,,-12,Mainly Clear
2013-01-07D02:00:00.000000000,-5.3,-8.7,77,340,22,24.1,100.24,,-12,Mainly Clear
2013-01-07D03:00:00.000000000,-5.8,-9,78,330,20,24.1,100.34,,-13,Mainly Clear
2013-01-07D04:00:00.000000000,-6.5,-9.3,80,340,17,24.1,100.47,,-13,Mainly Clear
2013-01-07D05:00:00.000000000,-7,-9.4,83,320,13,24.1,100.52,,-13,Mainly Clear
2013-01-07D06:00:00.000000000,-7.9,-10.3,83,310,11,24.1,100.55,,-13,Mainly Clear
2013-01-07D07:00:00.000000000,-7.7,-10.3,82,310,6,24.1,100.64,,-11,Clear
2013-01-07D08:00:00.000000000,-7.3,-10.1,80,70,4,24.1,100.7,,-9,Mainly Clear
2013-01-07D09:00:00.000000000,-5.7,-9.6,74,,0,24.1,100.74,,,Clear
2013-01-07D10:00:00.000000000,-5.3,-9.2,74,140,7,24.1,100.77,,-9,Mainly Clear
2013-01-07D11:00:00.000000000,-4.3,-8.4,73,180,11,24.1,100.77,,-9,Mostly Cloudy
2013-01-07D12:00:00.000000000,-3.6,-8,71,200,11,24.1,100.69,,-8,Cloudy
2013-01-07D13:00:00.000000000,-2.6,-6.3,76,160,7,24.1,100.52,,-5,Cloudy
2013-01-07D14:00:00.000000000,-1.6,-5.6,74,180,15,24.1,100.44,,-6,Mostly Cloudy
2013-01-07D15:00:00.000000000,-0.8,-4.7,75,180,9,24.1,100.35,,-4,Mostly Cloudy
2013-01-07D16:00:00.000000000,0.3,-3.6,75,200,17,24.1,100.26,,,Mostly Cloudy
2013-01-07D17:00:00.000000000,0.6,-4.3,70,210,24,24.1,100.19,,,Clear
2013-01-07D18:00:00.000000000,0.3,-4.2,72,210,22,24.1,100.16,,,Mainly Clear
2013-01-07D19:00:00.000000000,0.2,-3.9,74,220,19,24.1,100.13,,,Mostly Cloudy
2013-01-07D20:00:00.000000000,-0.2,-4,76,200,11,24.1,100.13,,-4,Mainly Clear
2013-01-07D21:00:00.000000000,-0.3,-3.9,77,200,15,24.1,100.06,,-5,Mainly Clear
2013-01-07D22:00:00.000000000,-0.2,-3.8,77,210,15,24.1,99.98,,-5,Mainly Clear
2013-01-07D23:00:00.000000000,-0.1,-3.7,77,220,20,24.1,99.93,,-5,Mainly Clear
2013-01-08D00:00:00.000000000,0.1,-3.4,77,220,22,24.1,99.89,,,Mainly Clear
2013-01-08D01:00:00.000000000,-0.1,-3.5,78,230,20,24.1,99.87,,-5,Clear
2013-01-08D02:00:00.000000000,-0.4,-3.7,78,230,17,19.3,99.93,,-5,Clear
2013-01-08D03:00:00.000000000,-0.5,-3.7,79,230,15,19.3,99.95,,-5,Clear
2013-01-08D04:00:00.000000000,-0.8,-3.9,79,230,11,16.1,99.94,,-5,Clear
2013-01-08D05:00:00.000000000,-1.1,-4.4,78,230,7,19.3,99.95,,-4,Clear
2013-01-08D06:00:00.000000000,-1.2,-4.6,78,220,13,19.3,100,,-5,Mainly Clear
2013-01-08D07:00:00.000000000,-1.7,-4.9,79,240,15,19.3,100.08,,-7,Mostly Cloudy
2013-01-08D08:00:00.000000000,-1.1,-4.6,77,220,11,16.1,100.14,,-5,Mostly Cloudy
